datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-07 19:30:00,2024-01-07,19:30 - 19:44,2,1,0,2
2024-01-07 19:45:00,2024-01-07,19:45 - 19:59,1,1,0,0
2024-01-07 20:00:00,2024-01-07,20:00 - 20:14,3,0,0,3
2024-01-07 20:15:00,2024-01-07,20:15 - 20:29,6,0,1,1
2024-01-07 20:30:00,2024-01-07,20:30 - 20:44,5,0,0,3
2024-01-07 20:45:00,2024-01-07,20:45 - 20:59,6,0,0,1
2024-01-07 21:00:00,2024-01-07,21:00 - 21:14,3,0,0,0
2024-01-07 21:15:00,2024-01-07,21:15 - 21:29,2,0,0,1
2024-01-07 21:30:00,2024-01-07,21:30 - 21:44,2,1,3,1
2024-01-07 21:45:00,2024-01-07,21:45 - 21:59,1,0,0,0
2024-01-07 22:00:00,2024-01-07,22:00 - 22:14,2,0,1,0
2024-01-07 22:15:00,2024-01-07,22:15 - 22:29,0,1,1,0
2024-01-07 22:30:00,2024-01-07,22:30 - 22:44,0,0,0,0
2024-01-07 22:45:00,2024-01-07,22:45 - 22:59,0,0,0,0
2024-01-07 23:00:00,2024-01-07,23:00 - 23:14,0,0,0,0
2024-01-07 23:15:00,2024-01-07,23:15 - 23:29,0,0,0,0
2024-01-08 12:45:00,2024-01-08,12:45 - 12:59,0,0,0,0
2024-01-08 13:00:00,2024-01-08,13:00 - 13:14,0,0,0,0
2024-01-08 13:15:00,2024-01-08,13:15 - 13:29,0,0,0,0
2024-01-08 13:30:00,2024-01-08,13:30 - 13:44,0,0,0,0
2024-01-08 13:45:00,2024-01-08,13:45 - 13:59,0,0,0,0
2024-01-08 14:00:00,2024-01-08,14:00 - 14:14,0,0,0,0
2024-01-08 14:15:00,2024-01-08,14:15 - 14:29,0,0,0,0
2024-01-08 14:30:00,2024-01-08,14:30 - 14:44,0,0,0,0
2024-01-08 14:45:00,2024-01-08,14:45 - 14:59,0,0,0,1
2024-01-08 15:00:00,2024-01-08,15:00 - 15:14,0,0,0,0
2024-01-08 15:15:00,2024-01-08,15:15 - 15:29,0,0,0,0
2024-01-08 15:45:00,2024-01-08,15:45 - 15:59,0,0,0,0
2024-01-08 18:45:00,2024-01-08,18:45 - 18:59,0,0,0,0
2024-01-08 19:00:00,2024-01-08,19:00 - 19:14,0,0,0,0
2024-01-08 19:15:00,2024-01-08,19:15 - 19:29,0,0,0,0
2024-01-08 19:30:00,2024-01-08,19:30 - 19:44,0,1,0,0
2024-01-08 19:45:00,2024-01-08,19:45 - 19:59,0,0,0,0
2024-01-08 20:00:00,2024-01-08,20:00 - 20:14,0,0,0,0
